Match	Team A	Team B	Status	Winner
R32-1	South Africa	Canada	Finished	Canada
R32-10	United States	Bosnia and Herzegovina	Finished	United States
R32-11	Switzerland	Algeria	Finished	Switzerland
R32-12	Spain	Austria	Finished	Spain
R32-13	Argentina	Cape Verde	Finished	Argentina
R32-14	Colombia	Ghana	Finished	Colombia
R32-15	Portugal	Croatia	Finished	Portugal
R32-16	Australia	Egypt	Finished	Egypt
R32-2	Brazil	Japan	Finished	Brazil
R32-3	Germany	Paraguay	Finished	Paraguay
R32-4	Netherlands	Morocco	Finished	Morocco
R32-5	Ivory Coast	Norway	Finished	Norway
R32-6	France	Sweden	Finished	France
R32-7	Mexico	Ecuador	Finished	Mexico
R32-8	England	DR Congo	Finished	England
R32-9	Belgium	Senegal	Finished	Belgium
